[23:04:02] [info] MAAT: Creating window MAAT Editor (1600, 900)
[23:04:02] [info] MAAT: OpenGL Info:
[23:04:02] [info] MAAT:   Vendor: ATI Technologies Inc.
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:05] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:06] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:08] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:09] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:10] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:11] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:12] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [trace] MAAT: Deserializing scene 'Untitled'
[23:04:17] [trace] MAAT: Deserialized entity with ID = 1234567, name = Top
[23:04:17] [trace] MAAT: Deserialized entity with ID = 1234567, name = Camera
[23:04:17] [trace] MAAT: Deserialized entity with ID = 1234567, name = Right
[23:04:17] [trace] MAAT: Deserialized entity with ID = 1234567, name = Left
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:17] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 1036831949
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:18] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
[23:04:19] [warning] MAAT: Pixel data = 50
